Álbum,Canción,Colaboraciones,Duración,Escuchas
LUX (Complete Works),"Sexo, Violencia y Llantas",ROSALÍA,2:20,69.104.551
LUX (Complete Works),Reliquia,ROSALÍA,3:50,93.077.370
LUX (Complete Works),Divinize,ROSALÍA,4:03,55.841.584
LUX (Complete Works),Porcelana,"ROSALÍA, Dougie F",4:08,47.270.863
LUX (Complete Works),Mio Cristo Piange Diamanti,ROSALÍA,4:29,42.399.702
LUX (Complete Works),Berghain,"ROSALÍA, Björk, Yves Tumor",2:58,149.293.399
LUX (Complete Works),La Perla,"ROSALÍA, Yahritza Y Su Esencia",3:15,290.857.840
LUX (Complete Works),Mundo Nuevo,ROSALÍA,2:20,36.664.652
LUX (Complete Works),De Madrugá,ROSALÍA,1:44,42.442.673
LUX (Complete Works),Dios Es Un Stalker (versión Francotiradora),ROSALÍA,2:57,682.749
LUX (Complete Works),La Yugular,ROSALÍA,4:18,50.281.035
LUX (Complete Works),Focu 'Ranni,ROSALÍA,2:50,2.705.240
LUX (Complete Works),Sauvignon Blanc,ROSALÍA,2:42,44.420.298
LUX (Complete Works),Jeanne,ROSALÍA,3:51,657.942
LUX (Complete Works),Novia Robot,ROSALÍA,3:12,923.804
LUX (Complete Works),La Rumba Del Perdón,"ROSALÍA, Estrella Morente, Sílvia Pérez Cruz",4:11,39.646.545
LUX (Complete Works),Memória,"ROSALÍA, Carminho",3:45,31.829.857
LUX (Complete Works),Magnolias,ROSALÍA,3:14,44.527.022
Berghain (Remix),Berghain - Remix,"Conrad Taylor, ROSALÍA, Björk, Yves Tumor",2:34,7.888.120
Berghain (Remix),Berghain,"ROSALÍA, Björk, Yves Tumor",2:58,149.293.399
Sauvignon Blanc,Sauvignon Blanc,ROSALÍA,2:42,44.420.298
Sauvignon Blanc,Sauvignon Blanc - A Cappella,ROSALÍA,2:48,620.561
Sauvignon Blanc,Sauvignon Blanc - Instrumental,ROSALÍA,2:42,357.716
LUX,"Sexo, Violencia y Llantas",ROSALÍA,2:20,69.104.551
LUX,Reliquia,ROSALÍA,3:50,93.077.370
LUX,Divinize,ROSALÍA,4:03,55.841.584
LUX,Porcelana,"ROSALÍA, Dougie F",4:08,47.270.863
LUX,Mio Cristo Piange Diamanti,ROSALÍA,4:29,42.399.702
LUX,Berghain,"ROSALÍA, Björk, Yves Tumor",2:58,149.293.399
LUX,La Perla,"ROSALÍA, Yahritza Y Su Esencia",3:15,290.857.840
LUX,Mundo Nuevo,ROSALÍA,2:20,36.664.652
LUX,De Madrugá,ROSALÍA,1:44,42.442.673
LUX,Dios Es Un Stalker,ROSALÍA,2:10,62.719.171
LUX,La Yugular,ROSALÍA,4:18,50.281.035
LUX,Sauvignon Blanc,ROSALÍA,2:42,44.420.298
LUX,La Rumba Del Perdón,"ROSALÍA, Estrella Morente, Sílvia Pérez Cruz",4:11,39.646.545
LUX,Memória,"ROSALÍA, Carminho",3:45,31.829.857
LUX,Magnolias,ROSALÍA,3:14,44.527.022
Berghain,Berghain,"ROSALÍA, Björk, Yves Tumor",2:58,149.293.399
Omega (feat. Ralphie Choo),Omega (feat. Ralphie Choo),"ROSALÍA, Ralphie Choo",2:49,23.240.282
New Woman (feat. ROSALÍA),New Woman (feat. ROSALÍA),"LISA, ROSALÍA",2:59,397.961.686
